name;annualRevenue;phone;street;postalCode;city;country;creationDate;company;state
"John,Doe";75000;555-1234;123 Main Street;10001;New York;USA;2023-01-01;ABC Inc;New York
"Jane,Smith";60000;555-5678;456 Oak Avenue;20002;Washington;USA;2023-02-15;XYZ Corp;Washington
"Michael,Johnson";90000;555-9876;789 Pine Lane;30301;Atlanta;USA;2023-03-20;123 Co;Georgia
"Emily,Williams";80000;555-4321;101 Maple Drive;60601;Chicago;USA;2023-04-10;456 Ltd;Illinois
"Daniel,Brown";70000;555-8765;202 Cedar Street;90001;Los Angeles;USA;2023-05-05;789 Enterprises;California
"Sophia,Miller";85000;555-2345;303 Elm Road;75201;Dallas;USA;2023-06-12;ABC Ltd;Texas
"Olivia,Anderson";72000;555-3456;505 Oak Lane;33101;Miami;USA;2023-08-22;123 Corp;Florida
"Matthew,Moore";88000;555-6543;606 Pine Street;98101;Seattle;USA;2023-09-30;456 Ventures;Washington
"Emma,Thomas";76000;555-2345;707 Cedar Avenue;80202;Denver;USA;2023-10-15;789 Holdings;Colorado
"Yae, Miko";1000.0;064878956;Arbre d'Inazuma;null;Mont JaiOublieLeNom;Inazuma;2023-12-29;RaidenCorp;Teyvat
